size,subset,a,b,c,buildtime,searchtime,nprobe,recall
1B,5M,0.0,0.0,0.0,133207.9448506832,96.62220191955566,26,0.9148433333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,22.870624780654907,5,0.6921666666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,39.46448826789856,10,0.8091266666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,95.6309425830841,25,0.9116033333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,16.313021659851074,3,0.5911833333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,105.13326358795166,28,0.92051
1B,5M,0.0,0.0,0.0,133207.9448506832,45.27801012992859,11,0.8224266666666666
1B,5M,0.0,0.0,0.0,133207.9448506832,10.872110843658447,1,0.36355333333333334
1B,5M,0.0,0.0,0.0,133207.9448506832,54.65064597129822,14,0.8535433333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,95.90124940872192,22,0.9004033333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,50.58686017990112,13,0.8444433333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,68.21060347557068,17,0.8748066666666666
1B,5M,0.0,0.0,0.0,133207.9448506832,61.53120303153992,15,0.8612666666666666
1B,5M,0.0,0.0,0.0,133207.9448506832,100.62723088264465,27,0.9177466666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,76.1705231666565,20,0.8914366666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,27.386120796203613,6,0.7254333333333334
1B,5M,0.0,0.0,0.0,133207.9448506832,30.25212574005127,7,0.7524133333333334
1B,5M,0.0,0.0,0.0,133207.9448506832,13.84201431274414,2,0.5076066666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,19.38584041595459,4,0.64943
1B,5M,0.0,0.0,0.0,133207.9448506832,61.311256647109985,16,0.86842
1B,5M,0.0,0.0,0.0,133207.9448506832,89.37838888168335,24,0.9079966666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,114.45825529098511,30,0.9257033333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,72.10795068740845,18,0.8810066666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,82.8070113658905,21,0.89611
1B,5M,0.0,0.0,0.0,133207.9448506832,39.337531089782715,9,0.7928333333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,33.15511655807495,8,0.7744066666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,73.38336372375488,19,0.8867733333333333
1B,5M,0.0,0.0,0.0,133207.9448506832,49.08779692649841,12,0.8339366666666667
1B,5M,0.0,0.0,0.0,133207.9448506832,87.176931142807,23,0.90446
1B,5M,0.0,0.0,0.0,133207.9448506832,106.95637488365173,29,0.9232166666666667
