model,time
base_t,18.967609167099
comp_t,22.533811330795288
base_t,19.11038851737976
comp_t,18.829312801361084
base_t,19.17334532737732
comp_t,18.505489110946655
base_t,19.28541874885559
comp_t,19.454983949661255
base_t,20.10158944129944
comp_t,19.59345531463623
base_t,21.439680099487305
comp_t,19.56249713897705
base_t,19.755625009536743
comp_t,19.100793838500977
base_t,19.253246784210205
comp_t,19.150163412094116
base_t,20.242860078811646
comp_t,19.876119136810303
base_t,20.720757722854614
comp_t,20.567648887634277
base_t,21.158332586288452
comp_t,19.886982917785645
base_t,20.412781715393066
comp_t,20.184287309646606
base_t,20.261189937591553
comp_t,19.897332668304443
base_t,20.41785979270935
comp_t,20.16825556755066
base_t,20.331448316574097
comp_t,19.973111152648926
base_t,19.791065454483032
comp_t,19.57626700401306
base_t,19.6094229221344
comp_t,19.415565013885498
base_t,21.274410247802734
comp_t,19.289104461669922
base_t,20.041620016098022
comp_t,19.685608863830566
base_t,19.833214044570923
comp_t,19.134743213653564
base_t,20.152068376541138
comp_t,20.144768476486206
base_t,22.367764949798584
comp_t,20.397913932800293
base_t,21.787365674972534
comp_t,19.56937074661255
base_t,19.58433485031128
comp_t,19.748980045318604
base_t,19.82481026649475
comp_t,19.432376384735107
base_t,22.075371742248535
comp_t,19.497957944869995
base_t,19.702674627304077
comp_t,19.26536273956299
base_t,19.55983018875122
comp_t,19.218720197677612
base_t,19.25196933746338
comp_t,20.349477529525757
base_t,20.76728081703186
comp_t,20.29789686203003
base_t,20.950089693069458
comp_t,19.43342423439026
base_t,19.8508243560791
comp_t,19.42323637008667
base_t,20.516932010650635
comp_t,19.722764015197754
base_t,20.323550701141357
comp_t,20.820318698883057
base_t,20.51250123977661
comp_t,19.953984260559082
base_t,19.767098665237427
comp_t,19.716800451278687
base_t,20.133936882019043
comp_t,19.081475973129272
base_t,20.081605195999146
comp_t,19.585383653640747
base_t,19.960015058517456
comp_t,19.359755277633667
base_t,22.90578818321228
comp_t,21.51676607131958
base_t,22.21066379547119
comp_t,22.4284884929657
base_t,19.876237154006958
comp_t,22.37053871154785
base_t,23.598467350006104
comp_t,19.760627269744873
base_t,20.0329270362854
comp_t,21.67053508758545
base_t,23.112476348876953
comp_t,19.284030437469482
base_t,19.7743821144104
comp_t,19.842101573944092
base_t,21.035202741622925
comp_t,21.28215789794922
base_t,19.995625734329224
comp_t,22.117456674575806
base_t,20.198253393173218
comp_t,19.67814350128174
base_t,22.378164768218994
comp_t,21.0697603225708
base_t,21.954837560653687
comp_t,21.914409160614014
base_t,20.38195037841797
comp_t,19.077943086624146
base_t,22.942648887634277
comp_t,21.677820920944214
base_t,19.423879861831665
comp_t,19.025476217269897
base_t,19.767078161239624
comp_t,21.827760457992554
base_t,19.713746070861816
comp_t,19.619158506393433
base_t,20.301196575164795
comp_t,21.009363412857056
base_t,20.45343780517578
comp_t,20.78356099128723
base_t,23.04120898246765
comp_t,20.303447246551514
base_t,20.382325410842896
comp_t,20.150922536849976
base_t,20.655721187591553
comp_t,20.357746601104736
base_t,20.829102993011475
comp_t,20.036198139190674
base_t,20.35819959640503
comp_t,20.024338006973267
base_t,22.053300380706787
comp_t,20.101830005645752
base_t,20.40849471092224
comp_t,19.674124717712402
base_t,20.30582308769226
comp_t,20.044318914413452
base_t,20.604573488235474
comp_t,19.85215735435486
base_t,20.6214599609375
comp_t,20.10153889656067
base_t,20.777708530426025
comp_t,19.641063451766968
base_t,19.94974637031555
comp_t,19.73099136352539
base_t,20.175037622451782
comp_t,19.552205562591553
base_t,20.065035343170166
comp_t,19.94546914100647
base_t,22.56670379638672
comp_t,19.501619577407837
base_t,19.68615436553955
comp_t,19.26131558418274
base_t,19.76833176612854
comp_t,19.59237837791443
base_t,19.55360198020935
comp_t,19.235173225402832
base_t,21.294746160507202
comp_t,20.279759407043457
base_t,19.578803777694702
comp_t,19.42588233947754
base_t,20.231420040130615
comp_t,19.19534707069397
base_t,19.606446743011475
comp_t,20.919106483459473
base_t,20.42969560623169
comp_t,20.24983263015747
base_t,20.19037914276123
comp_t,19.77620244026184
base_t,22.70526957511902
comp_t,19.40497088432312
base_t,20.088507890701294
comp_t,18.836069107055664
base_t,19.41013813018799
comp_t,19.083375215530396
base_t,20.699395179748535
comp_t,20.363423585891724
base_t,19.49791955947876
comp_t,19.729719638824463
base_t,19.345933198928833
comp_t,19.74340844154358
base_t,21.409282207489014
comp_t,20.516860723495483
base_t,20.38652801513672
comp_t,20.792413234710693
base_t,20.71951460838318
comp_t,20.033591747283936
base_t,20.20870542526245
comp_t,19.345674514770508
base_t,20.037991285324097
comp_t,19.43292760848999
base_t,19.82429003715515
comp_t,19.936602354049683
base_t,20.075676918029785
comp_t,22.139986515045166
base_t,20.15826416015625
comp_t,19.780911922454834
base_t,19.7861487865448
comp_t,19.12742280960083
base_t,19.34528398513794
comp_t,19.49417018890381
base_t,19.65129280090332
comp_t,19.308637619018555
base_t,19.269810914993286
comp_t,18.720484256744385
base_t,19.2721107006073
comp_t,18.89270520210266
base_t,23.201226949691772
comp_t,24.650978803634644
base_t,3.0798122882843018
comp_t,3.0273327827453613
