size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,params,recall
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,152.13499546051025,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=29,0.5680666666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,131.90776419639587,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=25,0.5669033333333333
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,158.44632363319397,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=30,0.56834
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,142.84322047233582,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=27,0.5674566666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,56.109678506851196,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=10,0.5540566666666666
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,65.78924822807312,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=12,0.5575633333333333
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,112.55158758163452,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=21,0.56517
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,39.882367849349976,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=7,0.54526
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,45.464576721191406,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=8,0.5489366666666666
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,150.07946109771729,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=28,0.56772
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,121.47694110870361,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=23,0.5661966666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,24.092405796051025,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=4,0.5225033333333333
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,51.97245717048645,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=9,0.5520966666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,100.88478302955627,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=19,0.56407
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,97.19172644615173,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=18,0.5634266666666666
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,86.61933255195618,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=16,0.5619233333333333
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,19.547008752822876,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=3,0.5053333333333333
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,127.79412651062012,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=24,0.56655
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,71.40370917320251,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=13,0.55868
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,34.89189863204956,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=6,0.54014
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,116.1973512172699,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=22,0.56573
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,135.8607964515686,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=26,0.5671566666666666
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,107.67316246032715,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=20,0.56468
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,29.62373685836792,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=5,0.53316
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,82.96114206314087,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=15,0.56089
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,77.12411212921143,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=14,0.5599566666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,8.19430422782898,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=1,0.39463
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,13.693719387054443,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=2,0.47387666666666667
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,93.3119044303894,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=17,0.5627433333333334
100M,lmi,994.4343802928925,497.64489364624023,0.0930643081665039,7870.06959104538,59.67418956756592,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=11,0.5559133333333334
100M,lmi,0.0,0.0,0.0,5710.596895456314,283.96356081962585,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=22,0.9495666666666667
100M,lmi,0.0,0.0,0.0,5710.596895456314,346.6636166572571,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=27,0.95738
100M,lmi,0.0,0.0,0.0,5710.596895456314,145.6396129131317,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=11,0.9132633333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,227.68983006477356,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=18,0.9406033333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,371.8410232067108,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=29,0.9598466666666666
100M,lmi,0.0,0.0,0.0,5710.596895456314,133.15862798690796,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=10,0.9061566666666667
100M,lmi,0.0,0.0,0.0,5710.596895456314,297.4207863807678,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=23,0.9513433333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,194.97013998031616,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=15,0.9319233333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,320.8554186820984,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=25,0.9546066666666667
100M,lmi,0.0,0.0,0.0,5710.596895456314,55.111796140670776,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=4,0.8130066666666667
100M,lmi,0.0,0.0,0.0,5710.596895456314,359.5786271095276,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=28,0.9586966666666666
100M,lmi,0.0,0.0,0.0,5710.596895456314,80.53370690345764,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=6,0.8609433333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,244.02712225914001,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=19,0.94313
100M,lmi,0.0,0.0,0.0,5710.596895456314,209.13957238197327,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=16,0.93532
100M,lmi,0.0,0.0,0.0,5710.596895456314,256.8267436027527,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=20,0.9454133333333333
100M,lmi,0.0,0.0,0.0,5710.596895456314,106.1542501449585,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=8,0.88848
100M,lmi,0.0,0.0,0.0,5710.596895456314,68.22478365898132,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=5,0.84147
100M,lmi,0.0,0.0,0.0,5710.596895456314,222.75624418258667,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=17,0.9381
