size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,params,recall
100M,lmi,668.9919192790985,297.61449360847473,0.07810640335083008,4836.345477342606,10.095814943313599,t3-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=500000-reduced_dim=240-nprobe=2,0.47274
100M,lmi,0.0,0.0,0.0,3644.4502398967743,600.4824271202087,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=22,0.9502666666666667
100M,lmi,0.0,0.0,0.0,3644.4502398967743,669.1319794654846,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=27,0.9575933333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,342.6916699409485,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=11,0.9129733333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,463.654664516449,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=18,0.9414833333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,733.1174986362457,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=29,0.9601633333333334
100M,lmi,0.0,0.0,0.0,3644.4502398967743,319.42804193496704,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=10,0.9056666666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,575.5236511230469,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=23,0.9518966666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,398.9616792201996,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=15,0.93226
100M,lmi,0.0,0.0,0.0,3644.4502398967743,611.3738269805908,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=25,0.9551366666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,63.90160059928894,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=4,0.81382
100M,lmi,0.0,0.0,0.0,3644.4502398967743,685.4159286022186,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=28,0.9588366666666667
100M,lmi,0.0,0.0,0.0,3644.4502398967743,110.52305936813354,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=6,0.8616933333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,509.7910621166229,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=19,0.944
100M,lmi,0.0,0.0,0.0,3644.4502398967743,449.3078045845032,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=16,0.9357433333333334
100M,lmi,0.0,0.0,0.0,3644.4502398967743,443.37525725364685,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=20,0.9462566666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,162.85285925865173,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=8,0.8881333333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,94.58190298080444,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=5,0.8417733333333334
100M,lmi,0.0,0.0,0.0,3644.4502398967743,536.1974155902863,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=17,0.9387333333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,403.575802564621,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=13,0.9236466666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,21.26449751853943,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=2,0.7023766666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,154.94586443901062,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=7,0.8768733333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,284.1208550930023,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=9,0.8975133333333334
100M,lmi,0.0,0.0,0.0,3644.4502398967743,30.434311866760254,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=3,0.7726
100M,lmi,0.0,0.0,0.0,3644.4502398967743,11.064854621887207,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=1,0.5506066666666667
100M,lmi,0.0,0.0,0.0,3644.4502398967743,770.9818699359894,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=30,0.9613233333333333
100M,lmi,0.0,0.0,0.0,3644.4502398967743,426.59500885009766,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=14,0.9281833333333334
100M,lmi,0.0,0.0,0.0,3644.4502398967743,342.1988844871521,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=12,0.91866
100M,lmi,0.0,0.0,0.0,3644.4502398967743,555.3546769618988,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=24,0.9536266666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,721.1907591819763,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=26,0.9563366666666666
100M,lmi,0.0,0.0,0.0,3644.4502398967743,581.3461294174194,t1-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=21,0.9483766666666666
300K,lmi,0.0,0.0,0.0,36.709550857543945,21.63503384590149,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=11,0.9030333333333334
300K,lmi,0.0,0.0,0.0,36.709550857543945,14.436599731445312,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=7,0.8605633333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,12.858862161636353,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=6,0.8443566666666666
300K,lmi,0.0,0.0,0.0,36.709550857543945,15.396402597427368,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=8,0.8746033333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,40.58830547332764,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=23,0.95049
300K,lmi,0.0,0.0,0.0,36.709550857543945,50.31361389160156,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=29,0.9609466666666666
300K,lmi,0.0,0.0,0.0,36.709550857543945,31.43067455291748,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=16,0.9301166666666667
