size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,params,recall
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,11.373378992080688,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=23,0.94784
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,10.546886682510376,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=21,0.9433633333333333
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,2.4322352409362793,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=4,0.7925833333333333
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,0.6884829998016357,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=1,0.5079566666666666
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,10.180240869522095,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=20,0.9409
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,3.4944663047790527,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=6,0.8440766666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,6.10721492767334,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=11,0.9032766666666666
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,5.577048301696777,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=10,0.89588
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,1.3001575469970703,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=2,0.66985
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,4.08599591255188,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=7,0.8615966666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,6.472912788391113,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=12,0.91002
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,6.9226295948028564,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=13,0.9158133333333334
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,7.431565046310425,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=14,0.9209833333333334
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,14.270879983901978,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=30,0.9587366666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,7.837909698486328,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=15,0.92536
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,13.451699018478394,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=28,0.9561166666666666
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,10.934314012527466,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=22,0.94571
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,9.89246940612793,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=19,0.93852
300K,lmi,0,0,0,0,0,lmi,0.52977
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,9.210708379745483,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=18,0.9358433333333334
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,2.966017961502075,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=5,0.8222966666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,12.61343240737915,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=26,0.95299
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,8.380623579025269,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=16,0.9292833333333334
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,12.284728288650513,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=25,0.9513166666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,11.76901125907898,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=24,0.9495166666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,8.776964902877808,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=17,0.9328533333333333
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,13.042513132095337,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=27,0.9545166666666667
300K,rust-lmi-task1,0.0,0.0,0.0,28.247970581054688,5.0385966300964355,rust-lmi-task1-ds=300K-ep=15-lr=0.00098-sample=100000-alpha=1.0-chunk=100000-nprobe=9,0.8867666666666667
