algo,dataset_name,buildtime,querytime,database_size,database_dim,n_queries,params,recall
lmi,imagenet-align-640-normalized,5675.107002496719,4.272632122039795,1281167,640,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=687700-nprobe=20,0.8422
lmi,yandex-200-cosine,3626.322275161743,1.9826645851135254,1000000,200,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=175398-nprobe=15,0.5747
lmi,coco-nomic-768-normalized,620.2598433494568,1.412510871887207,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=10,0.3423
lmi,laion-clip-512-normalized,5206.077372312546,2.091094493865967,1000448,512,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=181451-nprobe=10,0.4805
lmi,llama-128-ip,1766.6233623027802,3.979857921600342,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=50,0.0314
lmi,llama-128-ip,1766.6233623027802,7.9024879932403564,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=100,0.0519
lmi,laion-clip-512-normalized,5206.077372312546,19.526105880737305,1000448,512,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=181451-nprobe=100,0.7789
lmi,llama-128-ip,1766.6233623027802,0.8538784980773926,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=10,0.0095
lmi,coco-nomic-768-normalized,620.2598433494568,0.8079814910888672,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=5,0.2401
lmi,yi-128-ip,692.4461753368378,7.711480140686035,187843,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=791014-nprobe=100,0.2728
lmi,coco-nomic-768-normalized,620.2598433494568,6.642580509185791,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=50,0.6
lmi,laion-clip-512-normalized,5206.077372312546,9.842100620269775,1000448,512,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=181451-nprobe=50,0.6979
lmi,imagenet-align-640-normalized,5675.107002496719,20.6255362033844,1281167,640,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=687700-nprobe=100,0.9337
lmi,coco-nomic-768-normalized,620.2598433494568,13.066195249557495,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=100,0.7093
lmi,coco-nomic-768-normalized,620.2598433494568,2.7222859859466553,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=20,0.4481
lmi,laion-clip-512-normalized,5206.077372312546,4.055490493774414,1000448,512,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=181451-nprobe=20,0.586
lmi,imagenet-align-640-normalized,5675.107002496719,2.2118637561798096,1281167,640,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=687700-nprobe=10,0.7788
lmi,llama-128-ip,1766.6233623027802,1.6384775638580322,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=20,0.0177
lmi,llama-128-ip,1766.6233623027802,0.6275873184204102,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=5,0.0056
lmi,imagenet-align-640-normalized,5675.107002496719,10.407803535461426,1281167,640,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=687700-nprobe=50,0.9032
lmi,yi-128-ip,692.4461753368378,1.232177734375,187843,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=791014-nprobe=15,0.0941
lmi,llama-128-ip,1766.6233623027802,1.2483112812042236,256921,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=876071-nprobe=15,0.0137
lmi,yi-128-ip,692.4461753368378,1.6147596836090088,187843,128,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=791014-nprobe=20,0.109
lmi,yandex-200-cosine,3626.322275161743,6.410655736923218,1000000,200,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=175398-nprobe=50,0.6874
lmi,yandex-200-cosine,3626.322275161743,0.7661254405975342,1000000,200,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=175398-nprobe=5,0.437
lmi,yandex-200-cosine,3626.322275161743,1.3533103466033936,1000000,200,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=175398-nprobe=10,0.5245
lmi,coco-nomic-768-normalized,620.2598433494568,2.071091890335083,282360,768,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=628107-nprobe=15,0.4019
lmi,laion-clip-512-normalized,5206.077372312546,3.0506181716918945,1000448,512,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=181451-nprobe=15,0.54
lmi,yandex-200-cosine,3626.322275161743,12.697448968887329,1000000,200,1000,epochs=20-lr=0.001-n_buckets=4096-chunk_size=100000-seed=175398-nprobe=100,0.7452
